1100	3104	2996	31646
1100	3244	3114	8933
1100	3389	3256	10738
1100	2897	2792	12133
1100	2953	2852	33737
1100	1498	1468	13507
1100	3041	2930	12392
1100	2940	2844	30743
1100	2927	2824	33512
1100	3228	3101	32970
1100	2986	2898	12762
1100	2849	2759	8212
1100	3242	3133	13083
1100	2906	2802	31276
1100	3342	3201	35370
1100	3095	2964	32780
1200	3260	3157	38803
1200	3756	3609	12113
1200	3259	3148	12345
1200	3787	3619	34400
1200	3506	3372	34006
1200	1666	1632	11478
1200	3430	3308	9972
1200	3291	3190	15397
1200	3352	3236	14889
1200	3306	3185	39506
1200	3497	3378	8468
1200	3434	3331	33412
1200	3617	3455	13671
1200	3250	3146	33486
1200	3510	3384	9214
1200	1500	1476	36615
1200	3422	3307	11269
1200	3050	2967	37562
1200	3532	3385	34158
1200	3284	3182	13906
1200	3410	3292	12905
1200	3126	3035	9734
1200	3161	3072	8605
1200	3367	3248	36130
1200	3261	3154	34974
1200	3589	3453	35904
1200	3566	3442	14983
1200	3373	3261	35766
1200	3552	3406	11776
1200	3523	3401	33926
1200	3417	3304	10472
1200	3448	3327	32615
1200	3702	3553	15522
1200	3245	3134	15417
1200	3450	3327	36032
1200	3537	3411	39368
1200	3287	3180	39161
1200	3568	3412	14793
1200	3223	3120	9140
1200	3617	3471	11103
1200	3380	3264	34294
1200	3617	3491	10526
1200	3191	3085	36005
1200	3072	2985	12266
1200	3255	3156	37822
1200	3567	3437	39072
1200	3424	3310	13127
1200	3512	3368	11840
1200	3320	3221	14255
1200	3413	3297	12781
1300	3387	3293	42350
1300	3681	3575	10387
1300	3714	3601	39262
1300	3840	3712	41145
1300	3453	3356	9999
1300	3771	3638	40981
1300	3785	3652	12108
1300	4324	4133	9462
1300	3620	3506	39504
1300	3588	3487	36831
1300	3886	3750	38188
1300	3483	3368	37599
1300	3499	3389	35636
1300	3499	3393	37702
1300	3654	3523	14584
1300	3436	3333	37348
1300	3705	3586	15279
1300	3358	3268	14799
1300	3524	3415	39602
1300	1557	1541	13428
1300	3395	3305	15835
1300	3726	3593	12583
1300	3504	3401	40441
1300	3696	3568	36260
1300	3694	3572	35328
1300	3716	3594	39489
1300	3515	3416	15435
1300	3385	3292	36372
1300	3568	3454	37256
1300	3554	3444	16477
1300	3648	3542	15203
1300	3341	3242	36377
1300	3469	3349	35433
1300	1907	1855	40723
1300	3701	3570	41777
1300	3776	3635	41896
1300	3649	3512	41027
1300	3531	3411	38029
1300	3639	3505	12146
1300	3752	3622	12786
1300	3571	3461	11195
1300	3728	3602	35971
1300	3840	3701	9657
1300	3660	3546	15392
1300	3631	3499	15982
1300	3560	3455	35971
1300	3427	3316	37839
1300	3671	3566	9535
1300	3448	3356	14600
1300	3537	3437	14721
1400	1919	1884	38543
1400	4120	3960	17347
1400	3799	3679	11695
1400	2005	1957	15120
1400	3886	3749	13494
1400	3821	3696	12605
1400	4124	3990	17531
1400	4049	3909	39595
1400	4003	3855	42235
1400	4301	4141	12155
1400	3972	3846	16625
1400	3899	3768	38101
1400	3856	3738	45169
1400	3990	3858	40045
1400	4308	4148	9906
1400	3871	3760	9956
1400	4085	3964	40176
1400	3755	3638	11501
1400	4046	3910	43561
1400	3948	3828	38055
1400	4240	4099	38461
1400	4129	3958	39294
1400	4336	4180	41251
1400	3974	3827	46106
1400	4214	4058	10425
1400	3780	3645	40836
1400	4180	4041	42047
1400	3687	3589	12945
1400	4103	3962	38759
1400	2036	1984	15446
1400	4125	3994	16292
1400	4179	4040	13295
1400	4225	4084	45970
1400	4079	3937	11511
1400	3804	3671	38923
1400	3906	3774	45770
1400	4199	4057	9924
1400	3766	3652	12781
1400	3903	3780	41546
1400	4061	3919	38964
1400	1933	1893	40728
1400	4045	3922	44053
1400	4093	3956	45402
1400	4323	4167	38257
1400	3942	3809	11411
1400	3970	3843	15120
1400	4070	3929	16634
1400	4323	4169	44226
1400	3949	3845	41642
1400	3950	3801	17601
1500	4103	3970	46265
1500	4709	4530	44011
1500	4520	4359	48699
1500	2016	1987	13047
1500	4137	4021	16139
1500	4381	4243	10728
1500	4106	3978	43760
1500	4177	4048	14334
1500	4311	4169	42452
1500	4358	4201	13208
1500	4449	4300	42904
1500	4326	4183	44629
1500	4628	4470	17482
1500	4437	4297	43337
1500	3874	3771	48627
1500	4048	3942	12237
1500	2025	1995	13745
1500	4154	4017	16979
1500	4265	4112	15012
1500	4071	3932	47968
1500	3985	3874	46525
1500	4275	4124	18873
1500	4159	4021	11862
1500	4194	4053	14610
1500	4276	4140	46405
1500	4448	4297	17095
1500	4403	4245	12401
1500	4666	4504	40532
1500	3730	3626	43658
1500	4433	4274	16659
1500	2096	2055	46440
1500	4342	4201	12867
1500	4307	4151	13898
1500	4218	4095	43503
1500	4283	4135	18489
1500	4705	4524	16575
1500	4024	3901	15144
1500	3998	3883	17155
1500	4407	4258	16393
1500	4396	4247	44715
1500	4177	4051	41955
1500	4042	3918	46646
1500	4171	4045	47724
1500	4376	4230	18926
1500	4206	4056	13011
1500	4104	3968	46387
1500	4337	4200	17124
1500	4536	4376	15488
1500	4139	4024	47595
1500	3775	3669	41627
1600	4388	4271	48073
1600	4471	4332	43439
1600	4942	4763	13740
1600	4495	4351	12979
1600	4433	4305	12120
1600	4454	4349	19594
1600	4506	4366	11246
1600	4511	4386	49844
1600	4564	4414	49406
1600	4588	4446	15144
1600	4336	4194	43650
1600	4303	4186	12923
1600	2221	2180	18295
1600	4552	4404	17747
1600	4209	4117	16148
